id,title,english,number,doc_type,authority,published,effective,detail_url,official_url,status,downloaded_file,download_url,failure_reason
22,药品附条件批准上市申请审评审批工作程序（试行）,Work Procedures for Review and Approval of Conditional Marketing...,2020年第82号-2,指导原则,国家药品监督管理局,2020-07-07,2020-07-07,https://www.aiinct.com/regulations/view/22,https://www.nmpa.gov.cn/xxgk/fgwj/xzhgfxwj/20200708151701834.html,已下载,downloads/22_药品附条件批准上市申请审评审批工作程序（试行）.doc,http://www.nmpa.gov.cn/directory/web/nmpa/images/ufq80tKpxre84La9udzA7b7WMjAyMMTqtdo4MrrFuau45ri9vP4xLmRvYw==.doc,
21,突破性治疗药物审评工作程序（试行）,Breakthrough Therapy Drug Review and Approval Work Procedures (Trial),2020年第82号-1,法律法规,国家药品监督管理局,2020-07-07,2020-07-07,https://www.aiinct.com/regulations/view/21,https://www.nmpa.gov.cn/xxgk/fgwj/xzhgfxwj/20200708151701834.html,已下载,downloads/21_突破性治疗药物审评工作程序（试行）.doc,http://www.nmpa.gov.cn/directory/web/nmpa/images/ufq80tKpxre84La9udzA7b7WMjAyMMTqtdo4MrrFuau45ri9vP4xLmRvYw==.doc,
24,药品上市许可优先审评审批工作程序（试行）,Working Procedures for Priority Review and Approval of Drug Marketing...,2020年第82号-3,指导原则,国家药品监督管理局,2020-07-07,2020-07-07,https://www.aiinct.com/regulations/view/24,https://www.nmpa.gov.cn/xxgk/fgwj/xzhgfxwj/20200708151701834.html,已下载,downloads/24_药品上市许可优先审评审批工作程序（试行）.doc,http://www.nmpa.gov.cn/directory/web/nmpa/images/ufq80tKpxre84La9udzA7b7WMjAyMMTqtdo4MrrFuau45ri9vP4xLmRvYw==.doc,
12,中华人民共和国疫苗管理法,Vaccines Management Law of the People's Republic of China,第十三届全国人大第十一次会议,法律法规,国家药品监督管理局,2019-06-29,2019-12-01,https://www.aiinct.com/regulations/view/12,https://www.nmpa.gov.cn/yaopin/ypfgwj/ypflxzhfg/20190702121701506.html,已下载,downloads/12_中华人民共和国疫苗管理法.pdf,https://upload.wikimedia.org/wikipedia/commons/2/2a/%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E7%96%AB%E8%8B%97%E7%AE%A1%E7%90%86%E6%B3%95.pdf,官方页未直接暴露下载附件；已下载标注来源为国家法律法规数据库的 Commons 原始 PDF
16,关于调整进口药品注册管理有关事项的决定,Decision on Adjusting Matters Related to Imported Drug Registration Management,国家食品药品监督管理总局令第35号,法律法规,国家药品监督管理局,2017-10-10,2017-10-10,https://www.aiinct.com/regulations/view/16,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/bgt/art/2023/art_d4bea9aa4fb8480297c2533c6865c583.html,已下载,downloads/16_关于调整进口药品注册管理有关事项的决定.pdf,https://www.samr.gov.cn/cms_files/filemanager/samr/www/samrnew/samrgkml/nsjg/bgt/202106/W020211123581933553258.pdf?fileName=W020211123581933553258.pdf,
4,药物非临床研究质量管理规范,Good Laboratory Practice for Non-clinical Laboratory Studies of Drugs,国家食品药品监督管理总局令第34号,法律法规,-,2017-07-27,2017-09-01,https://www.aiinct.com/regulations/view/4,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/bgt/art/2023/art_2959b53d3b6a429e866c514a76a790db.html,已下载,downloads/4_药物非临床研究质量管理规范.pdf,https://www.samr.gov.cn/cms_files/filemanager/samr/www/samrnew/samrgkml/nsjg/bgt/202106/W020211123588219087845.pdf?fileName=W020211123588219087845.pdf,
30,药物临床试验机构监督检查办法（试行）,2023年第56号,,法律法规,国家药品监督管理局,-,2024-03-01,https://www.aiinct.com/regulations/view/30,https://www.nmpa.gov.cn/xxgk/fgwj/xzhgfxwj/20231103175749117.html,已下载,downloads/30_药物临床试验机构监督检查办法（试行）.docx,http://www.nmpa.gov.cn/directory/web/nmpa/images/1699005463513084134.docx,
27,药物非临床研究质量管理规范认证管理办法,Administrative Measures for the Certification of Good Laboratory Practice...,2023年第15号,法律法规,国家药品监督管理局,2023-01-19,2023-07-01,https://www.aiinct.com/regulations/view/27,https://www.nmpa.gov.cn/xxgk/fgwj/xzhgfxwj/20230119160441145.html,已下载,downloads/27_药物非临床研究质量管理规范认证管理办法.docx,http://www.nmpa.gov.cn/directory/web/nmpa/images/1674115799236082348.docx,
5,放射性药品管理办法,Administrative Measures for Radioactive Drugs,国务院令第25号,法律法规,国家药品监督管理局,2024-12-06,2024-12-06,https://www.aiinct.com/regulations/view/5,https://www.nmpa.gov.cn/xxgk/fgwj/flxzhfg/20250416155943156.html,已下载,downloads/5_放射性药品管理办法.pdf,https://xzfg.moj.gov.cn/law/download?LawID=824&type=pdf,
31,优化创新药临床试验审评审批试点工作方案,Pilot Work Plan for Optimizing the Review and Approval of Innovative Drug...,国药监药注〔2024〕21号,指导原则,国家药品监督管理局,2024-07-31,2024-07-31,https://www.aiinct.com/regulations/view/31,https://www.nmpa.gov.cn/xxgk/fgwj/gzwj/gzwjyp/20240731184417109.html,已下载,downloads/31_优化创新药临床试验审评审批试点工作方案.docx,https://www.nmpa.gov.cn/directory/web/nmpa/images/1722422647142021535.docx,
17,国家药监局关于药械组合产品注册有关事宜的通告,Notice of the National Medical Products Administration on Registration...,2021年第52号,法律法规,国家药品监督管理局,2021-07-27,2021-07-27,https://www.aiinct.com/regulations/view/17,https://www.nmpa.gov.cn/xxgk/fgwj/xzhgfxwj/20210727154135199.html,已下载,downloads/17_国家药监局关于药械组合产品注册有关事宜的通告.docx,https://www.nmpa.gov.cn/directory/web/nmpa/images/1627371669458006352.docx,
26,药品专利纠纷早期解决机制实施办法（试行）,Measures for the Implementation of the Early Resolution Mechanism for Drug...,2021年第89号,法律法规,国家药品监督管理局,2021-07-04,2021-07-04,https://www.aiinct.com/regulations/view/26,https://www.nmpa.gov.cn/xxgk/fgwj/xzhgfxwj/20210703223942131.html,已下载,downloads/26_药品专利纠纷早期解决机制实施办法（试行）.doc,http://www.nmpa.gov.cn/directory/web/nmpa/images/1625323300528019998.doc,
25,药品注册审评结论异议解决程序（试行）,Procedure for Resolving Objections to Drug Registration Review Conclusions (Trial),2020年第94号,法律法规,国家药品监督管理局,2020-08-26,2020-08-26,https://www.aiinct.com/regulations/view/25,https://www.nmpa.gov.cn/xxgk/fgwj/xzhgfxwj/20200901105332176.html,已下载,downloads/25_药品注册审评结论异议解决程序（试行）.doc,http://www.nmpa.gov.cn/directory/web/nmpa/images/1598928805060085214.doc,
18,化学药品注册分类及申报资料要求,Chemical Drug Registration Classification and Application Data Requirements,2020年第44号,法律法规,国家药品监督管理局,2020-06-30,2020-07-01,https://www.aiinct.com/regulations/view/18,https://www.nmpa.gov.cn/xxgk/ggtg/ypggtg/ypqtggtg/20200630180301525.html,已下载,downloads/18_化学药品注册分类及申报资料要求.doc,http://www.nmpa.gov.cn/directory/web/nmpa/images/ufq80tKpxre84La9udzA7b7WMjAyMMTqtdo0NLrFzai45ri9vP4uZG9j.doc,
13,中华人民共和国政府信息公开条例,Regulations of the People's Republic of China on Open Government Information,国务院令第711号,法律法规,-,2019-04-03,2019-05-15,https://www.aiinct.com/regulations/view/13,https://www.nmpa.gov.cn/xxgk/fgwj/flxzhfg/20250416143424199.html,已下载,downloads/13_中华人民共和国政府信息公开条例.pdf,https://xzfg.moj.gov.cn/law/download?LawID=1267&type=pdf,
6,麻醉药品和精神药品管理条例,Regulations on the Administration of Narcotic Drugs and Psychotropic Substances,国务院令第442号,法律法规,国家药品监督管理局,2005-08-03,2005-11-01,https://www.aiinct.com/regulations/view/6,https://www.nmpa.gov.cn/xxgk/fgwj/flxzhfg/20250416171145152.html,已下载,downloads/6_麻醉药品和精神药品管理条例.pdf,https://xzfg.moj.gov.cn/law/download?LawID=1038&type=pdf,
2,药品进口管理办法,Measures for the Administration of Drug Importation,第4号令,法律法规,国家药品监督管理局,2003-08-18,2004-01-01,https://www.aiinct.com/regulations/view/2,https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/bgt/art/2023/art_7dde931fd2fc4f3eb8699a0edc5d4ca9.html,已下载,downloads/2_药品进口管理办法.pdf,https://www.samr.gov.cn/cms_files/filemanager/samr/www/samrnew/samrgkml/nsjg/bgt/202106/W020211125513021395723.pdf?fileName=W020211125513021395723.pdf,
7,血液制品管理条例,Administrative Regulations on Blood Products,国务院令第208号,法律法规,-,1996-12-30,2016-02-06,https://www.aiinct.com/regulations/view/7,https://www.nmpa.gov.cn/xxgk/fgwj/flxzhfg/20250515151641138.html,已下载,downloads/7_血液制品管理条例.pdf,https://xzfg.moj.gov.cn/law/download?LawID=1171&type=pdf,
15,中药品种保护条例,Regulations on the Protection of Traditional Chinese Medicine Varieties,国务院令第106号,法律法规,国家药品监督管理局,1992-10-14,1993-01-01,https://www.aiinct.com/regulations/view/15,https://www.nmpa.gov.cn/xxgk/fgwj/flxzhfg/20250416140421196.html,已下载,downloads/15_中药品种保护条例.pdf,https://xzfg.moj.gov.cn/law/download?LawID=369&type=pdf,
